postal_code,lat_long
259469.0,"1.31547211014542,103.825103568175"
169813.0,"1.29181865625912,103.82516074139"
459108.0,"1.31205928208952,103.924449849436"
329564.0,"1.32571303801229,103.845508907095"
455620.0,"1.3125433905471,103.929243724485"
249045.0,"1.29480058255914,103.821972023459"
219498.0,"1.31387665877617,103.850450616658"
219493.0,"1.31350120906567,103.849976364353"
88764.0,"1.28004529331829,103.840358673254"
528714.0,"1.34071552719957,103.956574655748"
138681.0,"1.30562191514323,103.783821726393"
88641.0,Not Found
238354.0,Not Found
249192.0,"1.29653976819631,103.828864101631"
259387.0,"1.31105604490125,103.832081056609"
268931.0,Not Found
266474.0,"1.32435477286284,103.802951580752"
268988.0,"1.32456020379876,103.807057027769"
269093.0,Not Found
266310.0,"1.3245241122412,103.801520418513"
269105.0,"1.32420309927884,103.8061775148"
258873.0,"1.31104187040367,103.804381541755"
268906.0,"1.32154779808392,103.811286641965"
429233.0,"1.3106372663551,103.906033706628"
289599.0,"1.32443998997673,103.81183629155"
309420.0,Not Found
289674.0,"1.32496337821747,103.810317115677"
289609.0,"1.32473351341035,103.810724749056"
439204.0,"1.30999599928327,103.895761340669"
439204.0,"1.30999599928327,103.895761340669"
438797.0,"1.30995369949672,103.897073886398"
329371.0,"1.32784510851012,103.843709435735"
276562.0,"1.3233259419597,103.792045837686"
276559.0,"1.32382429426695,103.792406589576"
425774.0,"1.31407021454552,103.914849369981"
416953.0,"1.32167520272371,103.910592815024"
388224.0,"1.3142270612182,103.88326759779"
429085.0,Not Found
466488.0,"1.31416794726493,103.939732193722"
466452.0,"1.31332804378809,103.937887756499"
427336.0,"1.31492827462524,103.905580887804"
424239.0,"1.3057998737184,103.907284703752"
429002.0,"1.30880639855729,103.912761054209"
465558.0,"1.32826701515823,103.944420164383"
437838.0,"1.30319700466564,103.899267198543"
456448.0,"1.31346564994475,103.93142655093"
417026.0,"1.32277514689737,103.909811553258"
425310.0,"1.31079169432658,103.91006352809"
458656.0,"1.312255052662,103.931772326684"
425160.0,"1.30945102537494,103.910788370526"
429986.0,"1.30381233621834,103.903604161886"
424302.0,"1.31328174728474,103.904852255354"
487048.0,"1.3317758150305,103.946201241591"
455615.0,"1.31287856892187,103.929259191275"
427982.0,"1.31443985425782,103.908849449218"
455283.0,"1.31352005248552,103.933093563916"
438468.0,Not Found
427966.0,"1.3149472094487,103.907632064561"
536048.0,"1.34997420765235,103.881844113024"
329898.0,"1.32683327677098,103.843349169664"
529890.0,"1.33954520418255,103.951022111706"
437154.0,"1.31069520929113,103.893829913531"
519491.0,"1.37460383882424,103.953736505213"
428103.0,"1.31292961264321,103.902950421986"
427256.0,"1.31427299639943,103.9023720141"
486442.0,"1.32154249881548,103.955535617961"
486364.0,"1.32235926711929,103.954741499799"
486137.0,"1.32070065096209,103.956921625801"
486397.0,"1.32112663542292,103.957520577028"
239756.0,"1.29874865744547,103.840315207211"
425312.0,"1.31012700527051,103.910401565081"
328668.0,"1.32383024362223,103.850890339366"
506999.0,"1.35711313999418,103.967158370207"
539068.0,"1.34510640009665,103.872067786316"
259798.0,"1.31483629325537,103.831578486871"
539102.0,"1.34424277054184,103.872562841478"
118709.0,"1.29102031288517,103.774057141962"
768094.0,"1.43896278928397,103.831364977326"
438859.0,"1.30765307060931,103.89948999313"
89218.0,"1.27484974836861,103.842184815618"
329550.0,"1.32526434675063,103.845622069281"
519959.0,"1.37141713343027,103.941469118073"
229668.0,"1.30752558427329,103.836487890258"
228512.0,"1.30626330955029,103.836260973088"
408832.0,"1.33288462898322,103.892303618387"
458703.0,"1.31151022319857,103.930817283721"
307944.0,Not Found
436892.0,"1.29962292549867,103.883776609641"
69415.0,"1.28154862924483,103.846472570061"
229401.0,"1.305381735873,103.839061553236"
229388.0,Not Found
169587.0,"1.28975290405411,103.83034971382"
438622.0,"1.31158587123751,103.895823789036"
228485.0,"1.30407535521206,103.849184825415"
425244.0,"1.31087631734698,103.915485073734"
387988.0,"1.31553093240021,103.887541848285"
408832.0,"1.33288462898322,103.892303618387"
198782.0,Not Found
169767.0,"1.28350589483745,103.834492752536"
599426.0,"1.33595570623066,103.769290320199"
258203.0,"1.31769172514138,103.828769486315"
238122.0,Not Found
427962.0,"1.31488272296555,103.907503321323"
437872.0,"1.29811494090056,103.887990324917"
417657.0,"1.32899344664489,103.91347731741"
679692.0,"1.36951516897318,103.765201945383"
238126.0,"1.29734197095829,103.8367416335"
544814.0,"1.38176770136777,103.891543391384"
425710.0,"1.31289479727385,103.912335625355"
426244.0,"1.31742494084104,103.910444979932"
426121.0,"1.31705876623883,103.912857000474"
308092.0,"1.31818439913906,103.846394220029"
399839.0,"1.31390006507675,103.893617178884"
509738.0,"1.360285340555,103.966516198261"
438867.0,"1.30776731956689,103.899880729747"
228071.0,"1.30258539390747,103.847229316271"
437361.0,"1.31003444599099,103.893748167258"
425171.0,"1.31005493082979,103.911335554607"
415816.0,"1.32821242346435,103.907086070579"
416537.0,Not Found
416558.0,"1.31869288808784,103.905749453707"
408832.0,"1.33288462898322,103.892303618387"
417771.0,"1.31846390653038,103.9060767957"
400822.0,Not Found
759075.0,"1.42547005593325,103.824969746542"
328170.0,Not Found
238429.0,"1.29477172447814,103.83769330846"
427253.0,"1.31431777216437,103.90200952862"
357920.0,"1.33638147508185,103.867687209306"
534979.0,"1.35011116524616,103.879134679556"
